Airport ID,label
7367,9
2525,9
2538,9
2619,9
2526,9
2566,9
2584,9
2591,9
2616,9
2629,9
4092,9
7370,9
7532,9
2528,9
2570,9
2574,9
2587,9
2613,9
2615,9
2633,9
2635,9
6039,9
6735,9
6913,9
7364,9
7395,9
2545,9
2554,9
2562,9
2572,9
2575,9
2577,9
2604,9
2607,9
2609,9
2618,9
2623,9
2638,9
4209,9
4214,9
6034,9
7125,9
7373,9
7376,9
2533,9
2535,9
2581,9
2586,9
7380,9
2569,9
2595,9
2544,9
2539,9
6477,9
2543,9
6037,9
2547,9
7383,9
2550,9
2637,9
6073,9
7382,9
2549,9
2594,9
2624,9
2628,9
7372,9
7396,9
7398,9
7399,9
7530,9
7384,9
2556,9
7394,9
2576,9
2602,9
2636,9
4305,9
2582,9
7407,9
7397,9
2596,9
6040,9
2611,9
6069,9
2603,9
7381,9
2812,9
6036,9
2632,9
2641,9
2645,9
2649,9
2651,9
2762,9
2802,9
2642,9
2665,9
2662,9
4312,9
2656,9
2657,0
2664,9
6042,9
2670,4
2671,4
2672,4
6045,4
6046,4
2680,4
2683,4
2686,4
6047,4
6750,4
2759,9
2705,10
2706,10
6051,10
2708,10
2713,10
2729,10
2751,10
2752,10
7355,10
2712,10
2717,10
2718,10
2719,10
2724,10
2728,10
2731,10
2732,10
2733,10
2734,10
2738,10
2739,10
2741,10
2742,10
2746,10
2747,10
2748,10
2750,10
2753,10
2755,10
2756,10
6054,10
6055,10
7359,10
2711,10
2716,10
2722,10
2725,10
5477,10
6052,10
5476,10
2743,10
6053,10
7358,10
2767,9
2768,9
2769,9
2761,9
6058,9
7317,9
2765,9
2772,9
4247,9
6056,9
6060,9
2781,9
2801,9
2806,9
2785,9
2804,9
2786,9
2787,9
2788,9
2796,9
2807,9
2809,9
6066,9
6067,9
2792,9
2810,9
2808,9
2821,4
2850,4
2856,4
2822,4
2824,4
2830,4
2844,4
2852,4
2861,4
6072,4
2877,4
2891,4
2893,4
2900,4
2903,4
2907,4
4146,4
6079,4
2905,4
4304,4
2879,4
6460,4
2883,4
2884,4
6080,4
6788,4
2885,4
2888,4
2889,4
2898,4
4249,4
2914,11
2917,11
2918,11
2920,11
4358,11
4375,11
6083,11
6086,11
6088,11
6085,11
2913,11
2937,11
4374,11
2962,11
