,airport,closeness_centrality
320,2902,0.2924496653023064
522,1501,0.2923305290703878
817,591,0.2922709973467201
225,1800,0.29218174520990814
557,338,0.29209254756712505
1555,3393,0.29209254756712505
719,1102,0.2920034043684779
121,160,0.291973702059011
631,4105,0.291973702059011
1000,5674,0.291973702059011
326,3722,0.291973702059011
1566,3372,0.29191431556413483
462,1070,0.29176595496464097
1195,4331,0.2917363009393371
1085,2940,0.2916177450921607
529,1539,0.291588121184695
575,1609,0.291588121184695
517,1359,0.2915585032952908
2472,3636,0.2915585032952908
674,1243,0.29146968571711385
923,1020,0.29144009188162634
1093,2745,0.29129221280110995
604,2942,0.29105591816488924
1550,3390,0.2908789486159442
1280,3585,0.2908789486159442
581,1685,0.2908200065797505
360,1044,0.29061389743263516
2451,3807,0.29061389743263516
930,891,0.2905256543463702
1214,1772,0.290437464832757
1935,2883,0.29037870156217876
577,1611,0.2903493288430242
374,2074,0.2903493288430242
584,1696,0.2902612463284597
1569,3379,0.2902025543364814
709,467,0.2901732172404102
1561,3035,0.2901732172404102
1567,3373,0.290055928146942
466,1165,0.2900266206872929
1565,3371,0.28988017218159334
587,1726,0.28982163418236445
128,1826,0.2897923740476666
1590,2934,0.2896461619517798
1524,4206,0.2896169372356107
1560,3034,0.289587718416277
2462,3690,0.289587718416277
1588,2927,0.289587718416277
1578,4108,0.2895585054919941
816,4357,0.2895585054919941
769,1250,0.28950009732144605
1568,3375,0.28947090207161535
586,1721,0.2894417127097043
135,3839,0.2894417127097043
636,5803,0.28938335164251816
467,1190,0.28935417993368323
582,1689,0.28935417993368323
394,897,0.28917927311526676
634,4274,0.28917927311526676
1284,3825,0.28906278599618707
395,970,0.2890045776220436
710,488,0.2890045776220436
566,772,0.28891730900273155
583,1695,0.2888300930712555
260,3456,0.2888300930712555
392,883,0.28877197836440016
1191,2912,0.28871388703904016
1956,4374,0.28859777447638624
1039,2191,0.28859777447638624
1110,1602,0.28859777447638624
1427,3136,0.2885687609271275
532,1553,0.2885397532109105
1115,6152,0.288423780641292
439,1154,0.288423780641292
1589,2933,0.288423780641292
2436,3820,0.2883368623749008
741,4315,0.2882210528107378
914,930,0.2881921149540299
1955,2937,0.2879897125456143
562,410,0.28796082112180355
356,246,0.28790305566119734
126,184,0.28787418162091444
1095,2816,0.28787418162091444
2435,3712,0.28787418162091444
1540,2264,0.2878453133716544
764,907,0.2878164509116753
736,4197,0.2877875942392358
331,4067,0.2877298982500138
2432,3611,0.28770105892975223
497,657,0.2876722253900719
734,1738,0.28761457564550474
1091,2688,0.2874705523226978
1914,2850,0.287441764965165
1111,1743,0.28735543747543674
1580,4140,0.28732667316738114
393,886,0.28732667316738114
441,1435,0.28732667316738114
795,1280,0.2872979146173694
494,304,0.2872691618236727
653,1663,0.2871829379631954
399,298,0.2870967658473832
2079,4030,0.2870967658473832
520,1458,0.2870967658473832
500,699,0.28703934649421375
1094,2771,0.2870106454296708
1939,2885,0.28695326051605896
427,286,0.2868958985449413
938,912,0.28680989857535344
899,5952,0.2867812433751761
489,4161,0.2867525939003135
1564,3369,0.2866666798104602
461,1066,0.2866666798104602
1339,4075,0.28655220774105394
1420,2219,0.28649500598284633
2431,3608,0.28643782705739324
1430,3153,0.2864092461526779
403,270,0.2864092461526779
546,1321,0.28626642714093326
2449,3644,0.286209339409925
1454,3069,0.28618080408196783
1495,2994,0.2861522744434391
2097,3931,0.2860382127495902
390,253,0.28600971153269605
1562,3239,0.28595272613490114
389,245,0.2858957634404519
1563,3308,0.2858672906027425
1421,3399,0.28581036193788084
2471,3559,0.28572501144158247
1075,3410,0.285639711905875
1574,3404,0.28555446328513107
1570,3384,0.28552605838477446
1498,3152,0.28552605838477446
1553,3389,0.2854976591348854
644,671,0.2854124952711681
262,3514,0.28535574758347126
1579,4120,0.28535574758347126
561,388,0.2852990224572247
1089,1905,0.2852423198789762
346,221,0.2852423198789762
811,2916,0.28521397704115037
699,1474,0.28515730825969976
1581,4144,0.28510066199266365
1546,3269,0.2850723472978586
2496,3745,0.2850440382266273
767,1205,0.28501573477729497
2605,3622,0.28501573477729497
927,888,0.28501573477729497
803,1180,0.28490257716547274
362,1094,0.2848460320474484
754,1403,0.2848460320474484
1549,3387,0.28478950937018926
345,220,0.28478950937018926
733,1460,0.28476125644267236
1576,3928,0.28476125644267236
763,734,0.28473300912033905
1102,1324,0.2847047674015213
1552,3376,0.2847047674015213
2629,3862,0.2847047674015213
1171,2597,0.28464830076776454
1087,7489,0.28462007584949306
1223,1957,0.28459185652807234
1533,2287,0.28456364280183777
1172,2610,0.28450723212827217
1009,1072,0.2844790351776152
1551,3368,0.2844508438154928
1189,2157,0.2844226580402435
928,999,0.28436630324372275
1351,2246,0.284338134219132
1229,1847,0.2843099707747759
2493,4356,0.28428181290899646
1924,2891,0.2841411072007659
2,5,0.2841411072007659
1572,3394,0.2840005407086314
682,4198,0.28397244409795586
357,280,0.28394435304601223
1101,1274,0.28388818761172363
678,674,0.2838601132260816
1208,1764,0.28383204439257764
407,1059,0.28380398110956473
1228,1825,0.28363571787965786
298,1759,0.2835516610631372
283,1856,0.2835236531946007
1408,3321,0.2835236531946007
1591,3380,0.2834956508584827
2081,4302,0.2834676540531441
1168,2531,0.2834676540531441
1492,2172,0.28332775293082
1190,2162,0.28329978927577354
414,4162,0.28329978927577354
747,1588,0.2832159314200432
1583,4380,0.28307627859389917
1548,3385,0.28307627859389917
722,1231,0.2830204560187476
1573,3400,0.2829925529865067
942,4119,0.28285312031357285
647,499,0.28276952664192073
981,3967,0.28274167306364634
114,87,0.28274167306364634
352,238,0.28274167306364634
1497,3081,0.28263031360202223
2476,3855,0.28257466675941495
808,2773,0.28254685155449727
721,1213,0.28249123756934724
1037,3977,0.2824356454730038
1637,2381,0.2824356454730038
2648,3711,0.28238007525254677
519,1448,0.28235229834174086
526,1515,0.28229676091091044
